Year,Age_Group,New_Cases,Total_PLHIV,Adult_Prevalence_Percent,Deaths,Notes
2000,0-14,28000,,0.41,,Estimated children infections
2000,15-49,246000,,0.41,,Most affected age group
2000,50+,,,,,Limited data
2000,Total,274000,,0.41,,Peak new infections period
2001,0-14,27000,,0.4,,Estimated children infections
2001,15-49,240000,,0.4,,Declining trend begins
2001,50+,,,,,Limited data
2001,Total,267000,,0.4,,Slight decline from peak
2002,0-14,26000,,0.39,,Estimated children infections
2002,15-49,234000,,0.39,,Continued decline
2002,50+,,,,,Limited data
2002,Total,260000,,0.39,,NACO baseline monitoring
2003,0-14,25000,,0.38,,Estimated children infections
2003,15-49,228000,,0.38,,Intervention programs expand
2003,50+,,,,,Limited data
2003,Total,253000,,0.38,,Prevention programs scaling
2004,0-14,24000,,0.37,,Estimated children infections
2004,15-49,220000,,0.37,,ART introduction impacts
2004,50+,,,,,Limited data
2004,Total,244000,,0.37,,NACP-II phase
2005,0-14,22000,,0.36,268000,Estimated children infections
2005,15-49,210000,,0.36,268000,AIDS deaths peak
2005,50+,,,,,Limited data
2005,Total,232000,,0.36,268000,Highest mortality year
2006,0-14,21000,,0.35,,Estimated children infections
2006,15-49,198000,,0.35,,Steady decline continues
2006,50+,,,,,Limited data
2006,Total,219000,,0.35,,ART expansion
2007,0-14,19500,,0.34,,Estimated children infections
2007,15-49,185000,,0.34,,NACP-III begins
2007,50+,,,,,Limited data
2007,Total,204500,2226000,0.34,,Baseline for NACP-III
2008,0-14,18000,,0.33,,Estimated children infections
2008,15-49,172000,,0.33,,Targeted interventions
2008,50+,,,,,Limited data
2008,Total,190000,,0.33,,Continued progress
2009,0-14,16500,83000,0.31,170000,Children PLHIV estimate
2009,15-49,153500,1917000,0.31,,83% of all infections
2009,50+,,,,,Limited data
2009,Total,170000,2400000,0.31,170000,Significant mortality reduction
2010,0-14,15000,,0.3,,PMTCT programs expand
2010,15-49,145000,,0.3,,Steady decline
2010,50+,,,,,Limited data
2010,Total,160000,,0.3,,Prevention success
2011,0-14,13500,,0.29,,PMTCT effectiveness
2011,15-49,102500,,0.29,,Major decline
2011,50+,,,,,Limited data
2011,Total,116000,2080000,0.29,,57% reduction from 2000
2012,0-14,12500,,0.28,,Children infections decline
2012,15-49,95500,,0.28,,Continued improvement
2012,50+,,,,,Limited data
2012,Total,108000,,0.28,,Youth counseling emphasis
2013,0-14,11500,,0.27,,PMTCT impact
2013,15-49,89500,,0.27,,Further decline
2013,50+,,,,,Limited data
2013,Total,101000,2100000,0.27,,Stable PLHIV numbers
2014,0-14,10800,,0.26,,Continued reduction
2014,15-49,84200,,0.26,,15-49 age group dominant
2014,50+,,,,,Limited data
2014,Total,95000,2140000,0.26,,HIV Act introduced
2015,0-14,10400,138000,0.26,,6.54% of total PLHIV
2015,15-49,75600,1859000,0.26,,83% of all infections
2015,50+,,,,,Limited data
2015,Total,86000,2117000,0.26,,66% decline from 2000
2016,0-14,9800,,0.3,,Estimated children infections
2016,15-49,72200,,0.3,,Age group 15-49 years
2016,50+,,,,,Limited data
2016,Total,82000,,0.3,,Slight adjustment in estimates
2017,0-14,9200,,0.29,,PMTCT success
2017,15-49,68800,,0.29,,Continued decline
2017,50+,,,,,Limited data
2017,Total,78000,,0.29,,Progress continues
2018,0-14,8600,,0.28,,Children infections low
2018,15-49,65400,,0.28,,Working age population
2018,50+,,,,,Limited data
2018,Total,74000,,0.28,,Steady improvement
2019,0-14,8300,79000,0.22,58960,3.4% of total PLHIV
2019,15-49,60920,1946000,0.22,,83% of PLHIV adults
2019,50+,,,,,Increasing elderly cases
2019,Total,69220,2348000,0.22,58960,86% decline from 1997 peak
2020,0-14,7800,,0.21,,COVID-19 impact on data
2020,15-49,58200,,0.21,,Pandemic challenges
2020,50+,,,,,Limited data
2020,Total,66000,,0.21,,Estimated amid pandemic
2021,0-14,7400,,0.2,,Recovery from pandemic
2021,15-49,55600,,0.2,,Services restoration
2021,50+,,,,,Limited data
2021,Total,63000,,0.2,,HSS Round 17 conducted
2022,0-14,7000,,0.19,,Estimated children infections
2022,15-49,53000,,0.19,,Target population focus
2022,50+,,,,,Limited data
2022,Total,60000,,0.19,,Progress toward goals
2023,0-14,6600,,0.39,,Prevention success
2023,15-49,50400,,0.39,,Note prevalence increase
2023,50+,,,,,Limited data
2023,Total,57000,3140000,0.39,,Revised methodology estimate
2024,0-14,6200,,0.38,,Estimated
2024,15-49,48800,,0.38,,Estimated continuing trend
2024,50+,,,,,Limited data
2024,Total,55000,,0.38,,Projected estimate
2025,0-14,5900,,0.37,,Projected
2025,15-49,47100,,0.37,,Projected target reduction
2025,50+,,,,,Limited data
2025,Total,53000,,0.37,,Projected goal